year,month,week,region,retailer_code,retailer_name,brand_code,brand,pos_units,pos_amount,inv_units,inv_amount
2020,1,4,PL,R001,Walmart,B013,Aqua Dots,566,41113.74,448,28851.18
2020,3,11,US,R001,Walmart,B013,Aqua Dots,426,22296.54,270,12217.24
2020,4,10,AA,R002,Amazon,B021,Whiffies,193,10594.69,188,8655.65
2020,3,4,FR,R001,Walmart,B028,Rusty Rivets,639,29682.1,356,14377.81
2020,9,13,UK,R007,Tesco,B030,Paw Value Channel,285,10904.87,225,8628.88
2020,5,11,CZ,R002,Amazon,B051,Dragamonz,239,13387.88,165,8200.69
2020,4,13,RO,R001,Walmart,B062,SONY PLAYSTATION,531,32269.6,609,34518.75
2020,1,2,AA,R001,Walmart,B016,Purse Pets,476,19894.32,275,12487.21
2020,5,6,IN,R014,Spencer,B048,HEX,288,16134.87,279,17063.38
2020,10,2,UK,R010,Waitrose,B007,Kinetic Rock,209,3655.25,112,1833.16
2020,8,2,PL,R002,Amazon,B033,Firebuds,288,19295.06,157,8965.54
2020,8,2,FR,R001,Walmart,B050,Bakugan,517,33803.39,343,21693.24
2020,4,5,WE,R001,Walmart,B034,Dora the Explorer,578,23638.97,410,17460.82
2020,8,2,AU,R001,Walmart,B044,Hedbanz,379,26019.56,400,23161.69
2020,1,8,ES,R002,Amazon,B072,Gund License Paw Patrol,284,20315.19,115,6735.9
2020,2,1,AT,R002,Amazon,B019,Furprize,181,11253.3,192,12414.67
2020,9,10,ES,R002,Amazon,B074,Super Dinosaur,270,8572.15,139,4713.77
2020,4,12,AT,R002,Amazon,B039,Cardinal Games,226,13829.14,222,10957.68
2020,1,13,CZ,R001,Walmart,B016,Purse Pets,614,34830.88,271,14577.1
2020,11,2,BE,R001,Walmart,B013,Aqua Dots,475,27446.76,269,15485.89
2020,11,8,UK,R002,Amazon,B055,Angry Birds,206,10260.66,151,8044.62
2020,2,13,CH,R002,Amazon,B075,Ionix Dragons,289,5573.1,298,5626.08
2020,12,11,SK,R002,Amazon,B030,Paw Value Channel,334,18010.0,348,15841.01
2020,6,7,WE,R002,Amazon,B062,SONY PLAYSTATION,225,7228.26,201,5685.78
2020,6,1,AA,R001,Walmart,B063,Star Wars,428,29264.88,339,19248.12
2020,8,4,AT,R001,Walmart,B074,Super Dinosaur,537,30080.27,187,10098.44
2020,11,9,DE,R002,Amazon,B072,Gund License Paw Patrol,228,11802.89,155,8551.42
2020,9,6,IT,R002,Amazon,B002,Text Cool,176,9376.63,100,5553.67
2020,12,4,BE,R002,Amazon,B024,Hatchimals,259,10377.03,227,9505.56
2020,8,7,DE,R018,Rewe,B056,Batman,251,6831.64,96,2781.3
2020,8,8,BE,R001,Walmart,B038,Party Other Games,503,22236.11,182,6754.36
2020,5,9,MX,R001,Walmart,B006,Etch A Sketch,439,30934.13,186,12697.34
2020,4,7,NL,R002,Amazon,B071,Gund License Disney,281,17339.74,154,10283.89
2020,8,5,UK,R002,Amazon,B029,Paw Patrol Construction,257,10754.95,232,8739.32
2020,1,9,IT,R001,Walmart,B064,TMNT,453,30288.7,401,22915.18
2020,5,3,NL,R002,Amazon,B020,Magic Blanket Babies,221,6223.43,241,5655.1
2020,12,6,AA,R001,Walmart,B025,Popples,512,23763.18,284,10771.17
2020,1,10,MX,R001,Walmart,B008,Kinetic Sand,576,37586.76,362,24552.68
2020,9,10,MX,R001,Walmart,B043,Big Potato Games,406,6112.3,215,3356.13
2020,5,1,PT,R001,Walmart,B010,MoonLite,471,19160.84,357,15311.65
2020,1,12,CZ,R002,Amazon,B065,Teen Titans Go,289,7408.65,340,8434.89
2020,8,2,SK,R002,Amazon,B034,Dora the Explorer,244,16336.16,124,8883.44
2020,6,6,AU,R001,Walmart,B049,Tech Deck,472,21695.2,298,13039.46
2020,4,13,IT,R002,Amazon,B029,Paw Patrol Construction,168,6273.44,99,3963.77
2020,4,4,PT,R001,Walmart,B012,Paw Patrol Activity,548,37936.42,178,12787.84
2020,12,7,SK,R001,Walmart,B062,SONY PLAYSTATION,491,31487.93,167,9789.32
2020,5,9,CZ,R001,Walmart,B073,Redakai,502,11761.13,200,3996.64
2020,11,1,DE,R002,Amazon,B068,Gund License Pusheen,210,11722.47,79,3700.88
2020,2,6,BE,R002,Amazon,B012,Paw Patrol Activity,243,10356.93,206,8015.14
2020,1,12,SK,R001,Walmart,B071,Gund License Disney,470,8371.27,427,7857.88
2020,5,10,BE,R001,Walmart,B024,Hatchimals,515,20744.11,214,7323.77
2020,10,2,BE,R002,Amazon,B013,Aqua Dots,246,6854.05,278,7503.12
2020,2,4,WE,R002,Amazon,B005,Knits Cool,201,10345.64,91,4654.93
2020,6,12,BE,R001,Walmart,B065,Teen Titans Go,501,37436.71,572,43225.14
2020,10,7,CH,R001,Walmart,B034,Dora the Explorer,523,22680.49,233,10146.87
2020,7,13,AA,R002,Amazon,B020,Magic Blanket Babies,303,9382.17,229,6001.71
2020,11,3,IN,R002,Amazon,B027,Mighty Express,295,8497.71,258,7542.82
2020,11,11,BE,R001,Walmart,B062,SONY PLAYSTATION,433,13637.34,167,5093.84
2020,4,13,CH,R001,Walmart,B076,Flash,508,25814.66,278,14875.77
2020,1,8,PL,R001,Walmart,B003,Craft Cool,430,8644.95,226,4411.39
2020,2,3,AT,R001,Walmart,B030,Paw Value Channel,527,35210.9,519,35710.65
2020,12,10,US,R003,Costco,B058,DC Universe,282,8459.5,141,3727.62
2020,7,6,CH,R001,Walmart,B038,Party Other Games,499,35320.3,435,31697.3
2020,12,9,NL,R001,Walmart,B020,Magic Blanket Babies,474,9019.27,314,6536.55
2020,7,9,AU,R026,Woolworths AU,B074,Super Dinosaur,257,7753.17,93,2433.88
2020,8,4,IN,R002,Amazon,B029,Paw Patrol Construction,252,18545.65,79,5757.61
2020,2,4,AA,R002,Amazon,B032,Vida the Vet,272,14849.45,293,14861.4
2020,6,8,SK,R002,Amazon,B002,Text Cool,264,15189.18,145,8676.98
2020,11,7,AT,R001,Walmart,B050,Bakugan,453,19518.36,525,20022.2
