year,month,week,region,shipment_type,retailer_code,retailer_name,brand_code,brand,shp_units,shp_amount
2020,5,19,CH,DOM,R002,Amazon,B063,Star Wars,190,8200.13
2020,1,15,CA,FOB,R023,Loblaws,B023,DigiBird,293,4965.43
2020,7,25,AT,FOB,R001,Walmart,B051,Dragamonz,468,13951.29
2020,10,25,ES,FOB,R002,Amazon,B030,Paw Value Channel,192,8772.83
2020,4,23,US,DOM,R001,Walmart,B032,Vida the Vet,493,21226.36
2020,1,19,NL,DOM,R002,Amazon,B060,Monster Trucks,230,12599.94
2020,4,11,SK,FOB,R002,Amazon,B031,Paw Patrol,226,14422.06
2020,10,23,ES,DOM,R001,Walmart,B059,Black Adam Movie,463,10345.76
2020,9,14,CZ,FOB,R002,Amazon,B047,Air Hogs,209,8675.31
2020,1,21,ES,FOB,R001,Walmart,B006,Etch A Sketch,485,12438.16
2020,6,24,DE,DOM,R018,Rewe,B001,Art,313,6016.64
2020,2,10,CH,DOM,R001,Walmart,B035,GabbysDollhouseValue,549,12229.49
2020,1,18,AA,DOM,R002,Amazon,B036,Gabbys Dollhouse,262,14158.04
2020,3,22,MX,DOM,R002,Amazon,B066,GUND,196,11215.25
2020,3,17,MX,FOB,R002,Amazon,B064,TMNT,255,13861.54
2020,1,11,FR,FOB,R002,Amazon,B070,Gund Baby,206,13551.11
2020,2,13,AA,FOB,R002,Amazon,B006,Etch A Sketch,223,8547.5
2020,6,20,AA,DOM,R002,Amazon,B039,Cardinal Games,242,4342.22
2020,4,23,PL,FOB,R001,Walmart,B035,GabbysDollhouseValue,558,28514.42
2020,3,12,BE,FOB,R002,Amazon,B044,Hedbanz,241,7597.67
2020,8,14,CZ,FOB,R002,Amazon,B026,Crystal Dragons,257,4166.33
2020,8,19,BE,FOB,R002,Amazon,B065,Teen Titans Go,290,18966.06
2020,4,14,SK,DOM,R002,Amazon,B061,Monster Jam,281,7291.44
2020,4,24,NL,FOB,R001,Walmart,B016,Purse Pets,499,28152.45
2020,4,17,IN,FOB,R002,Amazon,B054,Spy Gear,249,14779.21
2020,7,15,AT,DOM,R002,Amazon,B073,Redakai,289,13132.3
2020,7,16,PT,FOB,R002,Amazon,B041,Kids Puzzles,310,9375.15
2020,2,21,IN,DOM,R014,Spencer,B072,Gund License Paw Patrol,238,13287.06
2020,3,11,CZ,FOB,R001,Walmart,B015,Masha & The Bear,501,11200.54
2020,2,20,MX,DOM,R002,Amazon,B042,Board Games,188,11608.52
2020,8,21,IN,DOM,R014,Spencer,B073,Redakai,248,6726.73
2020,6,21,PL,FOB,R001,Walmart,B017,BITZEE,456,16701.24
